id,title,douban_link,rating,year,image,video_url,summary,country,language,episode_duration,episode_count,director,scriptwriter,cast,official_website,also_known_as,genre
0,剑来,https://movie.douban.com/subject/35639781/,8.9,2024,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2911043943.jpg,['https://www.douban.com/link2/?url=https%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fmzc0020072zgk61%2Ft4100wuibew.html%3Fptag%3Dnewdouban.cartoon&amp;subtype=1&amp;type=online-video'],大千世界，无奇不有。 骊珠洞天中本该有大气运的贫寒少年，因为本命瓷碎裂的缘故，使得机缘临身却难以捉住。基于此，众多大佬纷纷以少年为焦点进行布局，使得少年身边的朋友获得大机缘，而少年却置身风口浪尖之上…,中国大陆,汉语普通话,20分钟,26.0,"['阿都沁', '田刚']","['马华', '屈亦张', '夏应哲', '左晓慧']","['陈张太康', '李敏', '陈浩', '云惟一', '徐宇隆', '惠龙', '万舒心', '贺文潇', '刘校妤', '凌振赫', '白雪岑', '黄嘉炜', '杨默', '杨天翔', '赵铭洲', '赵毅', '张惠霖', '锦鲤']",官方网站:,剑来 动画版 / Sword of Coming,"['动画', '奇幻', '冒险']"
1,葬送的芙莉莲 葬送のフリーレン,https://movie.douban.com/subject/36093351/,9.5,2023,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2897218476.jpg,"['https://www.douban.com/link2/?url=https%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fmzc00200wo6sr9q%2Fl4100oh6xb3.html%3Fptag%3Dnewdouban.cartoon&amp;subtype=1&amp;type=online-video', 'https://www.douban.com/link2/?url=https%3A%2F%2Fm.bilibili.com%2Fbangumi%2Fplay%2Fep779775%3Fbsource%3Ddoubanh5&amp;subtype=8&amp;type=online-video']",中央大陆古老城邦，人们夹道欢呼，为击败了魔王的四人组高声喝彩。这四个人分别是勇者辛美尔（冈本信彦 配音）、精灵魔导师芙莉莲（种崎敦美 配音）、僧侣海塔（东地宏树 配音）以及矮人族战士艾泽（上田耀司 配音）。在王宫盛大的晚宴上，四位好朋友相聊甚欢，并且共同回忆着征途中的快乐种种。当天上流星划过，他们相约去一个更好的地方欣赏这个五十年一遇的流星雨。在此之后，芙莉莲告别好友们，独自踏上收集魔法的旅程。时光倏忽而逝，转眼五十年过去，她如约回到主城。而与这个几乎拥有不死之身且不会衰老的精灵形成鲜明对比的是，曾经英俊帅气、孔武有力的朋友们都已经衰老。他们追昔过往，又无奈面对死亡。这让芙莉莲的心中产生了波动……本片改编自原作山田钟人，作画阿部司的同名漫画。,日本,日语,30分钟,28.0,['斋藤圭一郎'],['铃木智寻'],"['种崎敦美', '冈本信彦', '东地宏树', '上田耀司']",,Frieren: Beyond Journey's End / Sousou no Frieren,"['动画', '奇幻', '冒险']"
2,仙逆 年番,https://movie.douban.com/subject/36779574/,9.1,2024,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2915217827.jpg,"['https://www.douban.com/link2/?url=https%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fmzc00200wo6sr9q%2Fl4100oh6xb3.html%3Fptag%3Dnewdouban.cartoon&amp;subtype=1&amp;type=online-video', 'https://www.douban.com/link2/?url=https%3A%2F%2Fm.bilibili.com%2Fbangumi%2Fplay%2Fep779775%3Fbsource%3Ddoubanh5&amp;subtype=8&amp;type=online-video']",改编自耳根同名小说《仙逆》，讲述了乡村平凡少年王林以心中之感动，逆仙而修，求的不仅是长生，更多的是摆脱那背后的蝼蚁之身。他坚信道在人为，以平庸的资质踏入修真仙途，历经坎坷风雨，凭着其聪睿的心智，一步一步走向巅峰，凭一己之力，扬名修真界。2月26日不断更年番继续。,中国大陆,汉语普通话,20分钟,52.0,"['石头熊', '冯毅', '李振峰', '王建鑫', '刘莹', '杜文凯', '崔玮', '高佳', '王栋']","['马华', '王子悦', '郑一星', '刘萌薇', '王世旸', '李凯帆']","['史泽鲲', '周健', '苗壮', '黄玮', '王敏纳', '白雪岑', '刘思岑', '赵俊凌', '任景行', '张如麟', '辰朔', '张铎']",,仙逆 第25-76集 / 仙逆 第二季 / Renegade Immortal,"['动画', '奇幻', '古装']"
3,妄想代理人,https://movie.douban.com/subject/1441053/,9.0,2004,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2723568120.jpg,['https://www.douban.com/link2/?url=https%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XNTAxOTUxMTQ0.html%3Fspm%3Da2h0k.11417342.soresults.dtitle%26s%3D9f9fd892b2bb11e0a046&amp;subtype=3&amp;type=online-video'],喧嚣嘈杂的东京，都市人为了生计奔波劳碌，承受着巨大的压力，当一切逼近极限时，悲剧不可避免地上演。美丽安静的鹭月子凭借小狗娃娃麻露美成为炙手可热的设计师，与此同时她也遭遇来自同行的妒嫉以及下一次创作的瓶颈。在一次夜归途中，月子受伤住院，她声称遭到一名手持弯曲金属球棍、脚蹬黄金滑轮的少年的袭击。在此之后，“球棍少年”的袭击案件不断发生，警官猪狩和马庭介入调查，发现受害者在遇袭前大都承受着巨大的压力。不久，“球棍少年”落网，看似一切终于要告一段落，然而整个事态却朝着更加糟糕的方向发展。社会上遇袭事件越来越多，“球棍少年”也成为令人费解的谜团……,日本,日语,25分钟,13.0,"['今敏', '滨崎博嗣', '高桥敦史', '平尾隆之']","['水上清资', '吉野智美', '今敏']","['能登麻美子', '桃井晴子', '饭塚昭三', '关俊彦', '内海贤二', '津村真琴', '山口真弓', '三石琴乃', '阪口大助', '槐柳二', '京田尚子']",,Paranoia Agent / Mousou dairinin,"['剧情', '动画', '悬疑']"
4,异度侵入 イド：インヴェイデッド ID:INVADED,https://movie.douban.com/subject/34456027/,9.0,2020,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2584476257.jpg,['https://www.douban.com/link2/?url=https%3A%2F%2Fm.bilibili.com%2Fbangumi%2Fplay%2Fep307446%3Fbsource%3Ddoubanh5&amp;subtype=8&amp;type=online-video'],本片讲述利用能检测出人们杀意的装置以及利用思想粒子做出的“井”，来探知事件真相的科幻故事,日本,日语,25分钟,13.0,"['青木荣', '碇谷敦', '下平佑一', '又贺大介', '栗山贵行', '久保田雄大', '青柳隆平']",['舞城王太郎'],"['津田健次郎', '细谷佳正', '竹内良太', '市道真央', '布里德卡特·塞拉·惠美', '村治学', '近藤隆', '岩濑周平', '榎木淳弥', '加藤涉', '落合福嗣', '西凛太郎']",,ID: Invaded,"['科幻', '动画']"
5,四月是你的谎言 四月は君の嘘,https://movie.douban.com/subject/25851655/,9.1,2014,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2232343678.jpg,"['https://www.douban.com/link2/?url=http%3A%2F%2Fv.qq.com%2Fx%2Fpage%2Fb002614l7j5.html%3Fptag%3Ddouban.cartoon&amp;subtype=1&amp;type=online-video', 'https://www.douban.com/link2/?url=https%3A%2F%2Fm.bilibili.com%2Fbangumi%2Fplay%2Fep741870%3Fbsource%3Ddoubanh5&amp;subtype=8&amp;type=online-video']",从很小的时候起，在母亲的引导和教导下，有马公生（花江夏树 配音）便将成为优秀的钢琴师当做了自己的毕生理想，一路走来，亦斩获了不少佳绩。不幸的是，在11岁那年，有马的母亲去世了，而有马亦再也无法听见自己所演奏的琴声，如此一来，他同自己最初的梦想渐行渐远。在念初三那年，一位名叫宫园薰（种田梨沙 配音）的女生出现在了有马的身边，薰演奏的乐器是小提琴。很快，有马便被薰身上所散发出来的才情和热情所吸引了。让有马没有想到的是，薰竟然指定有马成为她比赛中的伴奏，在薰的影响下，有马渐渐重燃了对于钢琴的热爱，他和薰之间的距离也因此越来越近。,日本,日语,24分钟,22.0,"['石黑恭平', '石滨真史', '柴山智隆', '石井俊匡', '岩田和也', '井端义秀', '高桥英俊', '原田孝宏', '中村章子', '黑木美幸', '仓田绫子', '河野亚矢子', '间岛崇宽', '川越崇弘', '福岛利规', '矢岛武', '小岛崇史']","['吉冈孝夫', '新川直司']","['花江夏树', '种田梨沙', '佐仓绫音', '逢坂良太', '早见沙织', '梶裕贵', '茅野爱衣', '能登麻美子']",,Your Lie in April,"['剧情', '动画', '音乐']"
6,进击的巨人 最终季 完结篇 后篇 進撃の巨人 The Final Season 完結編（後編）,https://movie.douban.com/subject/36283000/,9.3,2023,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2900331189.jpg,"['https://www.douban.com/link2/?url=http%3A%2F%2Fv.qq.com%2Fx%2Fpage%2Fb002614l7j5.html%3Fptag%3Ddouban.cartoon&amp;subtype=1&amp;type=online-video', 'https://www.douban.com/link2/?url=https%3A%2F%2Fm.bilibili.com%2Fbangumi%2Fplay%2Fep741870%3Fbsource%3Ddoubanh5&amp;subtype=8&amp;type=online-video']",艾伦为了毁灭世界，发动了「地鸣」。无数的巨人开始进攻，摧毁一切。米卡莎、阿尔敏、让、康尼、汉吉、莱纳、安妮、皮克，以及身受重伤的利威尔……剩下的人们为了阻止艾伦，展开了最后的战斗。,日本,日语,,,['林祐一郎'],"['濑古浩司', '谏山创']","['梶裕贵', '石川由依', '井上麻里奈', '神谷浩史', '细谷佳正', '岛村侑', '朴璐美', '下野纮', '三上枝织', '谷山纪章', '子安武人', '花江夏树', '佐仓绫音', '沼仓爱美']",,"Attack on Titan: The Final Season, The Final Chapters - Part 2","['动作', '动画', '奇幻']"
7,咒术回战 呪術廻戦,https://movie.douban.com/subject/34895145/,8.4,2020,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2620216005.jpg,"['https://www.douban.com/link2/?url=http%3A%2F%2Fv.qq.com%2Fx%2Fpage%2Fh0047e5bu6f.html%3Fptag%3Ddouban.cartoon&amp;subtype=1&amp;type=online-video', 'https://www.douban.com/link2/?url=http%3A%2F%2Fwww.mgtv.com%2Fb%2F565161%2F21292993.html%3Fcxid%3Dvb4rv4jhk&amp;subtype=7&amp;type=online-video', 'https://www.douban.com/link2/?url=https%3A%2F%2Fm.bilibili.com%2Fbangumi%2Fplay%2Fep414606%3Fbsource%3Ddoubanh5&amp;subtype=8&amp;type=online-video', 'https://www.douban.com/link2/?url=http%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XNDg4MTc5NDk2NA%3D%3D.html%3Ftpa%3DdW5pb25faWQ9MzAwMDA4XzEwMDAwMl8wMl8wMQ%26refer%3Desfhz_operation.xuka.xj_00003036_000000_FNZfau_19010900&amp;subtype=3&amp;type=online-video']",天地玄黄，森罗万象。拥有复杂情感的人类，无法想象自己会孕育出怎样恐怖阴森的存在。其实往往是简简单单的负面情绪，便可形成无法祓除、难以追悔的诅咒。17岁的高中生虎杖悠仁（榎木淳弥 配音）是一个优哉游哉的体育特长生，只因他偶然捡到了一个被布条包裹的手指，便从此打开异世界的大门。为了解救同学，他吞下这根“两面宿傩之指”，于是便和特级咒物融为一体。在最强咒术师五条悟（中村悠一 配音）的帮助下，虎杖进入东京都立咒术高等专门学校学习。由此开启了自己险象环生、波澜壮阔的咒术师之旅……本片根据日本漫画家芥见下下著作的漫画作品改编。,日本,日语,24分钟,24.0,"['朴性厚', '竹下良平', '筑紫大介', '伊福觉志', '田中宏纪', '高田阳介', '中山龙', '高桥贤', '中园真登', '御所园翔太']","['濑古浩司', '芥见下下']","['榎木淳弥', '内田雄马', '濑户麻沙美', '中村悠一', '诹访部顺一', '小松未可子', '内山昂辉', '关智一', '津田健次郎', '岩田光央', '远藤绫', '黑田崇矢', '木村昴', '井上麻里奈', '赤崎千夏', '樱井孝宏', '麦人', '千叶繁', '田中敦子', '山谷祥生', '岛崎信长']",,Jujutsu Kaisen,"['喜剧', '动作', '动画', '惊悚', '奇幻']"
8,怪物 MONSTER,https://movie.douban.com/subject/1427980/,9.2,2004,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2554144278.jpg,"['https://www.douban.com/link2/?url=http%3A%2F%2Fv.qq.com%2Fx%2Fpage%2Fh0047e5bu6f.html%3Fptag%3Ddouban.cartoon&amp;subtype=1&amp;type=online-video', 'https://www.douban.com/link2/?url=http%3A%2F%2Fwww.mgtv.com%2Fb%2F565161%2F21292993.html%3Fcxid%3Dvb4rv4jhk&amp;subtype=7&amp;type=online-video', 'https://www.douban.com/link2/?url=https%3A%2F%2Fm.bilibili.com%2Fbangumi%2Fplay%2Fep414606%3Fbsource%3Ddoubanh5&amp;subtype=8&amp;type=online-video', 'https://www.douban.com/link2/?url=http%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XNDg4MTc5NDk2NA%3D%3D.html%3Ftpa%3DdW5pb25faWQ9MzAwMDA4XzEwMDAwMl8wMl8wMQ%26refer%3Desfhz_operation.xuka.xj_00003036_000000_FNZfau_19010900&amp;subtype=3&amp;type=online-video']",供职于西德艾斯勒纪念医院的日本人天马贤三被人称作“天才医生”，他的外科技术精湛，为人谦和，受到同事的羡慕和医患的敬仰。事业上，天马前途一片光明，为院长所看好；爱情上，院长的女儿爱娃与之相恋，如胶似漆。然而看似一切美好的天马却渐渐感到良心上的不安，他亲眼目睹院方为抢救重要人物而置病危的普通人于不顾，死者家属的指责和哭泣让天马备受煎熬。当这种两难抉择再一次到来之时，天马毅然选择抢救一个头部中枪的男孩。他牺牲了自己的事业和爱情，却换来一个可怕怪物的复活。在接下来的岁月里，天马和怪物约翰展开了斗智斗勇的游戏，一段尘封的历史慢慢被揭开……本片根据日本漫画家浦泽直树的同名原著改编。,日本,日语,24分钟,74.0,"['小岛正幸', '中村亮介', '浅香守生', '伊藤智彦', '佐藤雄三', '宫本幸裕', '高桥敦史', '寺本幸代', '若林汉二', '渡边哲哉', '小林智树', '长崎健司', '岛崎奈奈子', '鹤冈耕次郎', '高桥亨', '青山弘', '大野和寿', '池田重隆']","['浦泽直树', '浦畑达彦', '笔安一幸', '砂山藏澄', '博多正寿', '渡边和夫', '中村龙', '吉野智美', '林政宏', '阿部奈美子', '中村亮介', '斋藤友纪', '西川真刚']","['木内秀信', '能登麻美子', '佐佐木望', '矶部勉', '小山茉美', '竹内顺子', '菅生隆之', '永井一郎', '田中秀幸', '胜部演之', '羽佐间道夫', '关智一', '冰上恭子', '菅沼久义', '池田秀一']",,,"['剧情', '动画', '悬疑', '惊悚']"
9,来自新世界 新世界より,https://movie.douban.com/subject/10527275/,9.0,2012,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1438419268.jpg,"['https://www.douban.com/link2/?url=http%3A%2F%2Fv.qq.com%2Fx%2Fpage%2Fd0031emqss6.html%3Fptag%3Ddouban.cartoon&amp;subtype=1&amp;type=online-video', 'https://www.douban.com/link2/?url=https%3A%2F%2Fm.bilibili.com%2Fbangumi%2Fplay%2Fep29284%3Fbsource%3Ddoubanh5&amp;subtype=8&amp;type=online-video']",《来自新世界》改编自贵志祐介所著的科幻类小说作品。1000年后的日本，孩子们不断地消失，只存在想象中的恐怖动物与人类展开殊死战争。反乌托邦式的未来超级社会“新世界”，是口吐真言凭藉“咒力”就能移动物体的人类，与有著等同于普通人智力的生物“妖鼠”共存的世界。乍看之下一切和平，但“新世界”的孩子们的行动被彻底地控制和管束著，不合适的记忆被消去，被认为有问题的孩子，如同不良产品般被分开处理。得到被称为“咒力”的特殊能力的人们在“八丁标”的结界中促成一个小小的团体，无论是思想还是对外界的认知，记忆、爱、甚至生命的支配都被统治着。在这其中，渡辺早季、朝比奈覚、秋月真理亜、伊东守、青沼瞬五位少年和少女们，为了守护日益衰弱的世界和同伴，投身到了各种各样的冒险的旅程中......,日本,日语,24分钟,25.0,"['石滨真史', '山内重保', '大和直道', '柳沼和良', '中山敦史', '高桥知也', '藤濑顺一', '工藤宽显', '高村雄太', '广岛秀树', '黑泽守', '渊上真', '森义博', '冈田坚二朗']","['贵志祐介', '十川诚志', '中濑理香', '中村能子']","['种田梨沙', '东条加那子', '梶裕贵', '花泽香菜', '工藤晴香', '高城元气', '藤堂真衣', '村濑步', '东地宏树', '伊藤美纪', '榊原良子', '星野贵纪', '浪川大辅', '平田广明', '堀江由衣', '杉田智和', '远藤绫']",,自新世界 / From the New World,"['剧情', '动画']"
